UK_Omeka;dcterms:creator;dcterms:abstract
33;Achenbach, Oswald;Düsseldorf, 1827-Düsseldorf, 1905
34;Adan, Louis-Émile;Paris, 1839-?, 1937
35;Alma Tadema, Lawrence;Dronrijp, 1836-?, 1902
36;Anastasi, Auguste;Paris, 1820-Paris, 1889
37;Anker, Albert;Anet, 1831-Berne, 1910
38;Antigna, Alexandre;Orléans, 1817-?, 1878
39;Appian, Adolphe;Lyon, 1818-Lyon, 1898
40;Armand-Dumaresq, Édouard;Paris, 1826-Paris, 1895
41;Aubert, Jean;Paris, 1824-Paris, 1906
42;Aublet, Albert;Paris, 1851-?, 1938
43;Auguin, Louis-Auguste;Rochefort-sur-mer, 1824-Bordeaux, 1903
44;Aze, Adolphe;Paris, 1823-Paris, 1884
45;Baader, Louis-Marie;Lannion, 1828-Morlaix, 1920
46;Badin, Jules;Paris, 1843-?, 1919
47;Ballavoine, Jules;Paris, 1844-?, 1901
48;Balleroy, Albert de;Lonné, 1828-?, 1873
49;Balze, Paul;Rome, 1815-Pavia, 1884
50;Barillot, Léon;Montigny les Metz, 1844-Paris, 1929
51;Barrias, Félix;Paris, 1822-Paris, 1907
52;Bastien-Lepage, Jules;Damvilliers, 1848-Paris, 1884
53;Baudit, Amédée;Genève, 1826-?, ?
54;Baudry, Paul;Napoléon Vendée, 1828-Paris, 1886
55;Beaucé, Jean-Adolphe;Paris, 1818-Boulogne, 1875
56;Beaulieu, Anatole de;Paris, 1819-Paris, 1884
57;Beaumetz, Étienne;Paris, 1852-Limoux, 1913
58;Beaumont, Édouard de;Lannion, 1821-Paris, 1888
59;Beauverie, Charles;Lyon, 1839-Paris, 1888
60;Becker, Georges;Paris, 1845-Paris, 1909
61;Bellanger, Camille;Paris, 1853-Paris, 1923
62;Bellay, Charles-Paul;Paris, 1826-Paris, 1900
63;Belly, Léon;Saint-Omer, 1827-Paris, 1877
64;Benner, Jean;Mulhouse, 1836-Paris, 1909
65;Bénouville, François-Léon;Paris, 1821-Paris, 1859
66;Berchère, Narcisse;Etampes, 1819-Asnière, 1891
67;Bergeret, Denis;Villeparisis, 1846-Paris, 1910
68;Berne-Bellecour, Étienne;Boulogne-sur-Mer, 1838-Paris, 1910
69;Bernier, Camille;Colmar, 1823-Paris, 1902
70;Berthon, Nicolas;Paris, 1831-Paris, 1888
71;Bertrand, James;Lyon, 1825-Orsay, 1887
72;Besnard, Louise;Paris, 1816-Lyon, 1879
73;Besnard, Albert;Paris, 1849-Paris, 1934
74;Betsellère, Émile;Bayonne, 1847-Bayonne, 1880
75;Bezard, Jean-Louis;Toulouse, 1799-Paris, 1861
76;Biennourry, Victor;Bar-sur-Aube, 1823-Paris, 1893
77;Billet, Pierre;Cantin, 1837-Cantin, 1922
78;Bin, Émile;Paris, 1825-Paris, 1897
79;Blanc, Joseph;Paris, 1846-Paris, 1904
80;Blanchard, Édouard-Théophile;Paris, 1844-Paris, 1879
81;Blin, Francis;Rennes, 1827-?, 1866
82;Bodmer, Karl;Zurich, 1809-Barbizon, 1893
83;Böhn, Germann von;Heilbronn, 1812-Stuttgart, 1899
84;Bompard, Maurice;Rodez, 1857-Paris, 1936
85;Bonheur, Auguste;Bordeaux, 1824-Bellevue, 1884
86;Bonnat, Léon;Bayonne, 1833-Monchy-Saint-Eloi, 1922
87;Bonnefoy, Henry;Boulogne sur Mer, 1839-Paris, 1917
88;Bonvin, François;Paris, 1817-Saint-Germain-en-Laye, 1887
89;Bouguereau, William;La Rochelle, 1825-La Rochelle, 1905
90;Boulangé, Louis;Verzy, 1815-?, 1878
91;Boulanger, Gustave;Paris, 1824-Paris, 1888
92;Bourgeois, Urbain;Nevers, 1842-?, ?
93;Boutet de Monvel, Louis-Maurice;Orléans, 1851-Nemours, 1913
94;Bouvier, Laurent;Vinay, 1841-St-Geoire en Valdaine, 1901
95;Bracquemond, Félix;Paris, 1833-Sèvres, 1914
96;Bramtot, Alfred-Henri;Paris, 1852-Garennes, 1894
97;Brandon, Édouard;Paris, 1831-Paris, 1897
98;Bremond, Jean;Paris, 1807-Paris, 1868
99;Brendel, Albert;Berlin, 1827-Weimar, 1895
100;Brest, Fabius;Marseille, 1823-Marseille, 1900
101;Breton, Jules;Courrières, 1827-Paris, 1906
102;Breton, Émile;Courrières, 1831-Courrières, 1902
103;Bridgmann, Frederick-Arthur;Tuskegee, 1847-Rouen, 1928
104;Briguiboul, Marcel;Sainte Colombe sur l'Hers, 1837-Nimes, 1892
105;Brillouin, Louis-Georges;Saint-Jean d'Angely, 1817-Melle, 1893
106;Brion, Gustave;Rothau, 1824-Paris, 1877
107;Brown, John-Lewis;Bordeaux, 1829-Paris, 1890
108;Browne, Henriette;Paris, 1829-Paris, 1901
109;Brozik, Vaclav;Zelezny Hamr (Tchèquie), 1851-Paris, 1901
110;Brun, Charles;Montpellier, 1823-Paris, 1908
111;Busson, Charles;Montoire, 1822-Paris, 1908
112;Butin, Ulysse;Saint Quentin, 1837-Paris, 1883
113;Cabanel, Alexandre;Montpellier, 1823-Paris, 1889
114;Cabanel, Pierre;Montpellier, 1838-Montpellier, 1917
115;Cambon, Armand;Montauban, 1819-Montauban, 1885
116;Camino, Charles;Saint-Etienne, 1824-Paris, 1888
117;Caraud, Joseph;Cluny, 1821-Cluny, 1905
118;Carteron, Eugène;Paris, 1848-Paris, 1928
119;Castres, Édouard;Genève, 1838-Annemasse, 1902
120;Cazes, Romain;Saint-Béat, 1808-Bagnères-de-Luchon, 1881
121;Cellier, Paul;Paris, 1826-Paris, 1868
122;Čermák, Jaroslav;Prague, 1831-Paris, 1878
123;Chabry, Léonce;Bordeaux, 1832-Bordeaux, 1883
124;Chaplin, Charles;Andelys, 1825-Paris, 1891
125;Charnay, Armand;Charlieu, 1844-Paris, 1915
126;Charpentier, Eugène-Louis;Paris, 1811-Paris, 1890
127;Chartran, Théobald;Besançon, 1849-Neuilly, 1907
128;Chavet, Victor;Pourcieux, 1822-Creusot, 1906
129;Chazal, Charles-Camille;Paris, 1825-Paris, 1875
130;Chenu, Fleury;Briançon, 1833-Lyon, 1875
131;Chevandier de Valdrôme, Paul;Saint-Quirin, 1817-Pourville, 1877
132;Chintreuil, Antoine;Pont-de-Vaux, 1814-Septeuil, 1873
133;Cibot, Édouard;Paris, 1799-Paris, 1877
134;Cicéri, Eugène;Paris, 1813-Marlotte, 1890
135;Claude, Jean-Maxime;Paris, 1823-Maisons-Lafitte, 1904
136;Clément, Félix;Donzères, 1826-Algers, 1888
137;Cock, Xavier de;Gand, 1818-Deurle, 1896
138;Cock, César de;Gand, 1823-Gand, 1904
139;Coëssin de la Fosse, Charles-Alexandre;Lisieux, 1829-Paris, 1910
140;Cogen, Félix;Saint Nicolas, 1838-Bruxelles, 1907
141;Colas, Alphonse;Lille, 1818-Lille, 1887
142;Colin, Paul;Nîmes, 1838-Paris, 1916
143;Collart, Marie;Bruwelles, 1842-Bruxelles, 1911
144;Collin, Raphaël;Paris, 1850-Brionne, 1916
145;Comerre, Léon;Trélon, 1850-Paris, 1916
146;Compte-Calix, François-Claudius;Lyon, 1813-Chazay-d'Azergues, 1880
147;Comte, Charles;Lyon, 1823-Paris, 1895
148;Coninck, Pierre de;Meteren, 1828-?, ?
149;Constant, Benjamin;Paris, 1845-Paris, 1902
150;Cormon, Fernand;Paris, 1845-Paris, 1924
151;Cot, Pierre-Auguste;Bédarieux, 1837-Paris, 1883
152;Courant, Maurice;Le Havre, 1847-Poissy, 1924
153;Courbet, Gustave;Ornans, 1819-La Tour de Peilz, 1877
154;Charlot de Courcy, Alexandre-Frédéric de;Paris, 1832-Sèvres, 1886
155;Courtat, Louis;Paris, 1847-Paris, 1909
156;Courtois, Gustave;Pusey, 1852-Paris, 1923
157;Couturier, Philibert-Léon;Chalon sur Saone, 1823-Saint-Quentin, 1901
158;Curzon, Alfred de;Migné, 1820-Paris, 1895
159;Dagnan-Bouveret, Pascal-Adolphe-Jean;Paris, 1852-Paris, 1929
160;Daliphard, Édouard;Rouen, 1833-Rouen, 1877
161;Dameron, Émile;Paris, 1848-Paris, 1908
162;Damoye, Emmanuel;Paris, 1847-Paris, 1916
163;Dantan, Édouard;Paris, 1848-?, ?
164;Dargelas, Henri;Bordeaux, 1828-Ecouen, 1906
165;Dauban, Jules-Joseph;Paris, 1822-Graveron, 1908
166;Daubigny, Charles-François;Paris, 1817-Paris, 1878
167;Daubigny, Karl;Paris, 1846-Auvers-sur-Oise, 1886
168;Dawant, Albert-Pierre;Paris, 1852-Paris, 1923
169;La Boulaye, Paul de;Bourg, 1849-Moulins, 1926
170;Nittis, Giuseppe de;Barletta, 1846-Saint Germain en Laye, 1884
171;Defaux, Alexandre;Bercy, 1826-Montigny sur Loing, 1900
172;Dehodencq, Alfred;Paris, 1822-Paris, 1882
173;Jonghe, Gustave de;Courtrai, 1829-Anvers, 1893
174;Delacroix, Henri-Eugène;Solesmes, 1845-Tonneins, 1930
175;Delanoy, Hippolyte;Glasgow, 1849-Paris, 1899
176;Delaunay, Jules;Nantes, 1828-Paris, 1891
177;Delobbe, Alfred;Paris, 1835-Paris, 1915
178;Delort, Charles;Nîmes, 1841-?, ?
179;Demont, Adrien-Louis;Douai, 1851-Wissant, 1928
180;Neuville, Alphonse de;Saint Omer, 1835-Paris, 1885
181;Denneulin, Jules;Lille, 1835-Lille, 1904
182;Deschamps, Louis;Montémilar, 1846-Montélimar, 1902
183;Desgoffe, Blaise;Paris, 1830-Paris, 1901
184;Desjobert, Louis-Eugène;Châteauroux, 1817-Paris, 1863
185;Desportes de la Fosse, Emma;Paris, 1810-Paris, 1869
186;Destrem, Casimir;Toulouse, 1844-Paris, 1912
187;Detaille, Édouard;Paris, 1848-Paris, 1912
188;Devers, Joseph;Turin, 1823-Turin, 1878
189;Devilly, Théodore;Metz, 1818-Nancy, 1886
190;Didier, Jules;Paris, 1831-Paris, 1914
191;Doucet, Lucien;Paris, 1856-Saint-Leu d'Esserent, 1895
192;Douillard, Alexis-Marie-Louis;Nantes, 1835-Bellevue, 1905
193;Dubasty, Adolphe-Henri;Paris, 1814-Paris, 1884
194;Dubois, Paul;Nogent-sur-Seine, 1829-Paris, 1905
195;Dubufe, Guillaume;Paris, 1853-Paris, 1909
196;Duez, Ernest-Ange;Paris, 1843-Saint-Germain-en-Laye, 1896
197;Dumas, Michel;Lyon, 1812-Lyon, 1885
198;Dupain, Edmond;Bordeaux, 1847-Paris, 1933
199;Dupray, Henry-Louis;Sédan, 1841-Paris, 1909
200;Dupré, Victor;Limoges, 1816-L'Isle-Adam, 1879
201;Dupré, Julien;Paris, 1851-Paris, 1910
202;Duran, Carolus;Lille, 1838-Paris, 1917
203;Duran, Pauline;Saint-Petersbourg, ?-?, ?
204;Durand, Simon;Genève, 1838-Genève, 1896
205;Duveau, Louis;Saint-Malo, 1818-Paris, 1867
206;Duverger, Théophile-Emmanuel;Bordeaux, 1821-?, 1898
207;Edelfelt, Albert;Helsinki, 1854-Haikko, 1905
208;Ehrmann, François;Strasbourg, 1833-Paris, 1910
209;Escallier, Éléonore;Poligny, 1827-Sèvres, 1888
210;Faivre, Tony;Besançon, 1830-Paris, 1905
211;Faivre-Duffer, Louis;Nancy, 1818-?, 1897
212;Falguière, Alexandre;Toulouse, 1831-Paris, 1900
213;Fantin-Latour, Henri;Grenoble, 1836-Buré, 1904
214;Faruffini, Federico;Sesto San Giovanni, 1833-Perouse, 1869
215;Faure, Eugène;Seyssinet, 1822-Bourg Saint Andréol, 1879
216;Favard, Antoine;Lyon, 1829-?, 1877
217;Ferrier, Gabriel;Nîmes, 1847-Paris, 1914
218;Feyen, Eugène;Bey-sur-Seille, 1815-Paris, 1908
219;Feyen-Perrin, Augustin;Bey-sur-Seille, 1826-Paris, 1888
220;Fichel, Eugène;Paris, 1826-Paris, 1895
221;Flahaut, Léon;Paris, 1831-Paris, 1920
222;Flameng, François;Paris, 1856-Paris, 1923
223;Fontaine, Edmé-Adolphe;Noisy le Grand, 1814-?, 1878
224;Fontenay, Alexis-Daligé de;Paris, 1813-Paris, 1892
225;Fortin, Charles;Paris, 1815-Paris, 1865
226;Foubert, Émile-Louis;Paris, 1848-Paris, 1911
227;Foulongne, Alfred-Charles;Rouen, 1821-Paris, 1897
228;Frère, Édouard;Paris, 1819-Ecouen, 1866
229;Frère, Théodore;Paris, 1814-Paris, 1888
230;Fritel, Pierre;Paris, 1853-Rochefort-en-Yvelines, 1942
231;Fromentin, Eugène;La Rochelle, 1820-Saint Maurice, 1876
232;Gaillard, Ferdinand;Paris, 1834-Paris, 1887
233;"Galbrund, Alphonse
Résultats Web

Alphonse-Louis";Paris, 1810-Neuilly sur Seine, 1885
234;Gautier, Étienne;Marseille, 1842-Paris, 1903
235;Gavarni, Pierre;Auteuil, 1846-?, 1932
236;Geffroy, Edmond;Maignelay, 1804-Saint Pierre les Nemours, 1895
237;Gélibert, Jules;Bagnères de Bigorre, 1834-Capbreton, 1916
238;Gendron, Auguste;Paris, 1817-Paris, 1881
239;Genty, Emmanuel;Dampierre sur Boutonne, 1830-?, 1904
240;Georges-Sauvage, Auguste-Albert;Caen, ?-?, ?
241;Gérôme, Jean-Léon;Vesoul, 1824-Paris, 1904
242;Gervex, Henri;Paris, 1852-Paris, 1929
243;Giacomotti, Félix;Quingey, 1828-Besançon, 1909
244;Gide, Théophile;Paris, 1822-Paris, 1890
245;Gilbert, Victor;Paris, 1847-?, 1933
246;Ginain, Eugène;Paris, 1818-Paris, 1886
247;Girard, Firmin;Poncin, 1838-Montluçon, 1921
248;Giraud, Victor;Paris, 1840-Paris, 1871
249;Giron, Charles;Genève, 1850-Genthod, 1914
250;Gisbert, Antonio;Alicante, 1834-Paris, 1901
251;Glaize, Léon;Paris, 1842-Paris, 1932
252;Gonzalèz, Juan-Antonio;Chiclana, 1842-Paris, 1917
253;Gosselin, Charles;Paris, 1834-Versailles, 1892
254;Goubie, Jean-Richard;Paris, 1842-Paris, 1899
255;Goupil, Jules;Paris, 1839-Neuilly sur Seine, 1883
256;Gratia, Charles-Louis;Rambervilliers, 1815-Montlignon, 1911
257;Groiseilliez, Marcelin de;Paris, 1837-?, 1880
258;Gros, Lucien;Wesserling, 1845-Poissy, 1913
259;Guay, Gabriel;Paris, 1848-Saint Leu la Foret, 1923
