,GhettoID,GhettoName,Longitude,Latitude,UnspecE,UnknownE,UncertE,TyphusE,TyphoidE,TuberE,no_E,DysenteryE
0,315.0,Baranów Sandomierski,21.483905,50.515478,0,1,0,0,0,0,0,0
1,316.0,Biecz,21.25,49.733333,0,1,0,0,0,0,0,0
2,317.0,Bircza,22.466666,49.683333000000005,0,1,0,0,0,0,0,0
3,318.0,Blazowa,22.061904000000002,49.912482000000004,0,1,0,0,0,0,0,0
4,319.0,Bobowa,20.933332999999998,49.7,0,0,0,0,0,0,1,0
5,320.0,Bochnia,20.433332999999998,49.966666,0,0,0,1,0,0,0,0
6,321.0,Brzesko,20.616666,49.966666,0,0,0,1,0,0,0,0
7,322.0,Brzostek,21.416666,49.883333,0,1,0,0,0,0,0,0
8,323.0,Brzozów,22.016666,49.7,0,1,0,0,0,0,0,0
9,324.0,Czudec,21.833333,49.95,0,1,0,0,0,0,0,0
10,325.0,Dabrowa Tarnowska,20.983333,50.166666,0,0,0,1,0,0,0,0
11,326.0,Debica,21.416666,50.05,1,0,0,0,0,0,0,0
12,327.0,Dobromil,22.783333,49.566666,0,1,0,0,0,0,0,0
13,328.0,Dukla,21.683332999999998,49.566666,0,0,0,1,0,0,0,0
14,329.0,Dzialoszyce,20.35,50.366665999999995,0,0,0,1,1,0,0,1
15,,,,,0,0,0,0,0,0,0,0
16,,,,,0,0,0,0,0,0,0,0
17,330.0,Frysztak,21.616666,49.833333,1,0,0,1,0,0,0,0
18,,,,,0,0,0,0,0,0,0,0
19,331.0,Glogów Malopolski,21.966666,50.15,0,0,0,0,0,0,1,0
20,332.0,Gorlice,21.166666,49.666666,1,0,0,0,0,0,0,0
21,333.0,Grybów,20.95,49.633333,0,1,0,0,0,0,0,0
22,334.0,Jasienica Rosielna,21.95,49.75,0,0,1,0,0,0,0,0
23,335.0,Jaslo,21.466666,49.75,1,0,0,0,0,0,0,0
24,336.0,Jawornik Polski,22.220728,49.939302000000005,0,0,0,0,0,0,1,0
25,337.0,Jedlicze,21.65,49.716666,0,1,0,0,0,0,0,0
26,338.0,Jodlowa,21.3,49.866665999999995,0,0,1,0,0,0,0,0
27,339.0,Kalwaria Zebrzydowska,19.683332999999998,49.866665999999995,0,0,0,0,0,1,0,0
28,340.0,Kanczuga,22.416666,49.983333,0,0,1,0,0,0,0,0
29,341.0,Kolaczyce,21.433332999999998,49.816666,0,1,0,0,0,0,0,0
30,342.0,Kolbuszowa,21.766666,50.25,0,0,1,0,0,0,0,0
31,343.0,Korczyna,21.816666,49.716666,0,0,1,0,0,0,0,0
32,344.0,Kraków,19.916666,50.083333,0,0,1,0,0,0,0,0
33,345.0,Krosno,21.783333,49.683333000000005,0,1,0,0,0,0,0,0
34,346.0,Lancut,22.226986,50.094611,0,0,1,0,0,0,0,0
35,347.0,Lesko,22.316666,49.45,1,0,0,0,0,0,0,0
36,348.0,Lezajsk,22.416666,50.266666,0,1,0,0,0,0,0,0
37,349.0,Limanowa,20.433332999999998,49.7,0,1,0,0,0,0,0,0
