Certainty,Exposant,Match,Titre
100,"Achard, Jean-Alexis","Achard, Jean-Alexis",11
100,"Achenbach, Oswald","Achenbach, Oswald",13
100,"Anastasi, Auguste","Anastasi, Auguste",59
100,"Anker, Albert","Anker, Albert",32
100,"Antigna, Alexandre","Antigna, Alexandre",17
100,"Appian, Adolphe","Appian, Adolphe",48
100,"Aublet, Albert","Aublet, Albert",15
100,"Aze, Adolphe","Aze, Adolphe",30
100,"Baader, Louis-Marie","Baader, Louis-Marie",27
100,"Badin, Jules","Badin, Jules",9
100,"Ballavoine, Jules","Ballavoine, Jules",3
100,"Balleroy, Albert de","Balleroy, Albert de",26
100,"Balze, Paul","Balze, Paul",8
100,"Barillot, Léon","Barillot, Léon",20
100,"Baron, Henri","Baron, Henri",17
100,"Barrias, Félix","Barrias, Félix",5
100,"Bastien-Lepage, Jules","Bastien-Lepage, Jules",12
100,"Baudit, Amédée","Baudit, Amédée",48
100,"Baudry, Paul","Baudry, Paul",5
100,"Beaucé, Jean-Adolphe","Beaucé, Jean-Adolphe",34
100,"Beaulieu, Anatole de","Beaulieu, Anatole de",14
100,"Becker, Georges","Becker, Georges",10
100,"Bellanger, Camille","Bellanger, Camille",2
100,"Bellay, Charles-Paul","Bellay, Charles-Paul",4
100,"Bellel, Jean-Joseph","Bellel, Jean-Joseph",66
100,"Belly, Léon","Belly, Léon",30
100,"Benner, Jean","Benner, Jean",30
100,"Berchère, Narcisse","Berchère, Narcisse",38
100,"Bergeret, Denis","Bergeret, Denis",2
100,"Bernier, Camille","Bernier, Camille",35
100,"Berthon, Nicolas","Berthon, Nicolas",32
100,"Bertrand, James","Bertrand, James",38
100,"Bezard, Jean-Louis","Bezard, Jean-Louis",4
100,"Bianchi, Nina","Bianchi, Nina",4
100,"Bida, Alexandre","Bida, Alexandre",37
100,"Biennourry, Victor","Biennourry, Victor",1
100,"Billet, Pierre","Billet, Pierre",19
100,"Blanc, Joseph","Blanc, Joseph",1
100,"Blin, Francis","Blin, Francis",16
100,"Bodmer, Karl","Bodmer, Karl",24
100,"Bompard, Maurice","Bompard, Maurice",6
100,"Bonheur, Auguste","Bonheur, Auguste",19
100,"Bonheur, Rosa","Bonheur, Rosa",2
100,"Bonnat, Léon","Bonnat, Léon",24
